operator_name,parent_company
Equity Industrial Turbines,Equity Industrial Turbines
Fort Hays State University,Fort Hays State University
"Wiota Wind Energy, LLC #1","Wiota Wind Energy, LLC #1"
"Forward Fontanelle Power, LLC","Forward Fontanelle Power, LLC"
"Greenfield Wind Power, LLC","Greenfield Wind Power, LLC"
"Sky Volt, LLC","Sky Volt, LLC"
Camelot Wind LLC,Camelot Wind LLC
Heartland Community College,Heartland
Galactic Wind,Galactic Wind
Tuscola Wind II LLC,Tuscola Wind II LLC
"Meadow Ridge Wind Energy, LLC","Meadow Ridge Wind Energy, LLC"
Bayonne Energy Center LLC,Bayonne Energy Center LLC
North Sky River Energy LLC,North Sky River Energy LLC
Colorado Highlands Wind LLC,Colorado Highlands Wind LLC
Blue Summit Wind LLC,Blue Summit
Canadian Hills Wind LLC,Canadian Hills Wind LLC
Musselshell Wind Project LLC,Musselshell
Musselshell Wind Project Two LLC,Musselshell
Aegis Renewables LLC,Aegis Renewables LLC
Stephens Ranch Wind Energy LLC,Stephens Ranch Wind Energy LLC
Kawailoa Wind LLC,Kawailoa Wind LLC
NorthWestern Energy,NorthWestern Energy
BayWa r.e Wind LLC,BayWa r.e Wind LLC
"Pinyon Pines Wind II, LLC",Pinyon Pines
Gamesa Wind US LLC,Gamesa Wind US LLC
Fire Island Wind LLC,Fire Island Wind LLC
"Cumberland Rose Wind Energy, LLC","Cumberland Rose Wind Energy, LLC"
Headwaters Wind Farm LLC,Headwaters Wind Farm LLC
"OEE XVII, LLC",OEE
US Air Force,US Air Force
Consolidated Edison Solutions Inc,Consolidated Edison
NorthWestern Energy - (SD),NorthWestern Energy
Palo Duro Wind,Palo Duro Wind
Hidalgo Wind Farm LLC,Hidalgo Wind Farm LLC
"Mesquite Creek Wind, LLC",Mesquite
"Keechi Wind, LLC","Keechi Wind, LLC"
Balko Wind LLC,Balko Wind LLC
Kingfisher Wind LLC,Kingfisher Wind LLC
Mammoth Plains Wind Project,Mammoth Plains Wind Project
"Huerfano River Wind, LLC","Huerfano River Wind, LLC"
"Sustainable Power Group, LLC","Sustainable Power Group, LLC"
"Los Vientos Windpower III, LLC","Los Vientos Windpower III, LLC"
"Saddleback Ridge Wind, LLC","Saddleback Ridge Wind, LLC"
"Fourmile Wind Energy, LLC","Fourmile Wind Energy, LLC"
"Fair Wind Power Partners, LLC","Fair Wind Power Partners, LLC"
Wind Colebrook South,Wind Colebrook South
Hoopeston Wind LLC,Hoopeston Wind LLC
Southern Power Co,Southern Power Co
"WED Coventry Six, LLC","WED Coventry Six, LLC"
"WED Coventry Two, LLC","WED Coventry Two, LLC"
Tennessee Valley Authority,Tennessee Valley Authority
Beaver Ridge Wind LLC,Beaver Ridge Wind LLC
Waverly Wind Farm LLC,Waverly Wind Farm LLC
"Black Oak Wind, LLC","Black Oak Wind, LLC"
"WED Coventry Four, LLC","WED Coventry Four, LLC"
"New Creek Wind, LLC","New Creek Wind, LLC"
Paulding Wind Farm III LLC,Paulding Wind Farm III LLC
"Cedar Bluff Wind, LLC","Cedar Bluff Wind, LLC"
"WED Coventry One, LLC","WED Coventry One, LLC"
"WED Coventry Three, LLC","WED Coventry Three, LLC"
"Deerfield Wind Energy, LLC","Deerfield Wind Energy, LLC"
Jericho Power LLC,Jericho Power LLC
NextEra Energy Seiling Wind,NextEra
Astra Wind LLC,Astra Wind LLC
Rising Tree Wind Farm LLC,Rising Tree Wind Farm LLC
Willow Spring,Willow Spring
"Golden Hills Wind, LLC",Golden Hills
Rising Tree Wind Farm III LLC,Rising Tree Wind Farm III LLC
Arbuckle Mountain Wind Farm LLC,Arbuckle Mountain Wind Farm LLC
"Green Pastures Wind II, LLC",Green Pastures
"TX Jumbo Road Wind, LLC","TX Jumbo Road Wind, LLC"
"Los Vientos Windpower IV, LLC","Los Vientos Windpower IV, LLC"
Mariah Holdings II LLC c/o CAMS,Mariah Holdings II LLC c/o CAMS
"Green Pastures Wind I, LLC",Green Pastures
"Golden West Power Partners, LLC","Golden West Power Partners, LLC"
Cameron Wind 1 LLC,Cameron Wind 1 LLC
"Los Vientos Windpower V, LLC","Los Vientos Windpower V, LLC"
Capital Dynamics,Capital Dynamics
NextEra Energy Resources Breckinridge,NextEra
"OEE XIX, LLC",OEE
"BHE Renewables, LLC","BHE Renewables, LLC"
"Creston Ridge, LLC","Creston Ridge, LLC"
Findlay Wind Farm,Findlay Wind Farm
"Cimarron Bend Wind Project II, LLC",Cimarron
"Cimarron Bend Wind Project I, LLC",Cimarron
Ringer Hill Wind LLC,Ringer Hill Wind LLC
"Kingman Wind Energy, LLC","Kingman Wind Energy, LLC"
Ninnescah Wind Energy LLC,Ninnescah Wind Energy LLC
Jericho Rise Wind Farm LLC,Jericho Rise Wind Farm LLC
"Brady Wind, LLC","Brady Wind, LLC"
Osborn Wind Energy LLC,Osborn Wind Energy LLC
"Cotton Plains Wind I, LLC","Cotton Plains Wind I, LLC"
"Old Settler Wind, LLC","Old Settler Wind, LLC"
Rush Springs Wind Project,Rush Springs Wind Project
"Javelina Wind Energy, LLC","Javelina Wind Energy, LLC"
"Carousel Wind Farm, LLC","Carousel Wind Farm, LLC"
Red Horse 2,Red Horse 2
Shannon Wind LLC,Shannon Wind LLC
"Horse Creek Wind, LLC","Horse Creek Wind, LLC"
"Electra Wind, LLC","Electra Wind, LLC"
Benson Creek,Benson Creek
Jett Creek,Jett Creek
Prospector,Prospector
Durbin Creek,Durbin Creek
"Bluestem Wind Energy, LLC","Bluestem Wind Energy, LLC"
"Sendero Wind Energy, LLC","Sendero Wind Energy, LLC"
"Frontier Windpower, LLC","Frontier Windpower, LLC"
"Brady Wind II, LLC",Brady Wind
"South Fork Wind, LLC","South Fork Wind, LLC"
"CCC Hastings Renewable Energy, LLC","CCC Hastings Renewable Energy, LLC"
"Oliver Wind III, LLC","Oliver Wind III, LLC"
"Minco Wind IV, LLC","Minco Wind IV, LLC"
"Javelina Wind Energy II, LLC","Javelina Wind Energy II, LLC"
Chapman Ranch Wind LLC,Chapman Ranch Wind LLC
"August Wind Energy, LLC","August Wind Energy, LLC"
"Pisgah Mountain, LLC","Pisgah Mountain, LLC"
"WED Coventry Five, LLC","WED Coventry Five, LLC"
"Roseman Energy, LLC","Roseman Energy, LLC"
Birch Power LLC,Birch Power LLC
"FPL Energy Callahan Wind, LLC",FPL Energy
"Rocksprings Val Verde Wind, LLC","Rocksprings Val Verde Wind, LLC"
"Dermott Wind, LLC","Dermott Wind, LLC"
FPL Energy Red Canyon LLC,FPL Energy
Wintec Energy Ltd,Wintec Energy Ltd
Redbed Plains Wind Farm LLC,Redbed Plains Wind Farm LLC
AEM Wind LLC,AEM Wind LLC
Bay Windpower LLC,Bay Windpower LLC
"Creston Ridge II, LLC",Creston Ridge
"Willow Springs Windfarm, LLC","Willow Springs Windfarm, LLC"
Fluvanna Wind Energy LLC,Fluvanna Wind Energy LLC
"Buckthorn Wind Project, LLC","Buckthorn Wind Project, LLC"
Quilt Block Wind Farm LLC,Quilt Block Wind Farm LLC
FPL Energy Horse Hollow LLC,FPL Energy
"Bluff Point Wind, LLC","Bluff Point Wind, LLC"
"Foundation CA Fund VIII Manager, LLC","Foundation CA Fund VIII Manager, LLC"
City of Algona - (IA),City of Algona - (IA)
Brewster,Brewster
E&E Enterprises LLC,E&E Enterprises LLC
FPL Energy Oklahoma Wind LLC,FPL Energy
Illinois Rural Electric Coop,Illinois Rural Electric Coop
"Wind GEM, LLC","Wind GEM, LLC"
University of Minnesota WCROC,University of Minnesota WCROC
